  pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   mavar,__deg |   __mag,_comp |   ____P,deg/s |   ____Q,deg/s |   ____R,deg/s | 
      7.99589 |      -0.78045 |      67.94083 |      67.52454 |      -0.41629 |      74.83604 |       0.01327 |       0.79906 |       0.00625 | 
      8.83876 |      -0.76751 |      67.93679 |      67.52045 |      -0.41635 |      75.14307 |       0.01301 |       0.86976 |       0.00874 | 
      9.72917 |      -0.75615 |      67.93439 |      67.51799 |      -0.41640 |      75.33878 |       0.01006 |       0.90105 |       0.01027 | 
     10.62751 |      -0.74836 |      67.93279 |      67.51633 |      -0.41646 |      75.44126 |       0.00603 |       0.89821 |       0.01056 | 
     11.51747 |      -0.74462 |      67.93150 |      67.51498 |      -0.41652 |      75.46853 |       0.00203 |       0.86295 |       0.00979 | 
     12.34410 |      -0.74430 |      67.92978 |      67.51321 |      -0.41658 |      75.43435 |      -0.00055 |       0.80295 |       0.00884 | 
     13.11288 |      -0.74603 |      67.92812 |      67.51148 |      -0.41663 |      75.35407 |      -0.00219 |       0.72213 |       0.00832 | 
     13.78877 |      -0.74909 |      67.92729 |      67.51060 |      -0.41669 |      75.24187 |      -0.00369 |       0.62738 |       0.00816 | 
     14.35881 |      -0.75342 |      67.92767 |      67.51092 |      -0.41675 |      75.10905 |      -0.00546 |       0.52401 |       0.00789 | 
     14.82895 |      -0.75938 |      67.92899 |      67.51218 |      -0.41680 |      74.96121 |      -0.00717 |       0.41486 |       0.00720 | 
     15.18870 |      -0.76666 |      67.93092 |      67.51405 |      -0.41686 |      74.80737 |      -0.00842 |       0.30326 |       0.00622 | 
     15.43673 |      -0.77473 |      67.93330 |      67.51639 |      -0.41692 |      74.65440 |      -0.00914 |       0.19403 |       0.00535 | 
     15.57808 |      -0.78338 |      67.93645 |      67.51949 |      -0.41697 |      74.50440 |      -0.01000 |       0.08429 |       0.00530 | 
     15.61657 |      -0.79286 |      67.94136 |      67.52433 |      -0.41703 |      74.36524 |      -0.01176 |      -0.01009 |       0.00528 | 
     15.56169 |      -0.80391 |      67.94677 |      67.52969 |      -0.41708 |      74.24094 |      -0.01343 |      -0.10349 |       0.00386 | 
     15.36573 |      -0.81676 |      67.95213 |      67.53499 |      -0.41714 |      74.12231 |      -0.01531 |      -0.24849 |       0.00154 | 
     15.07177 |      -0.83054 |      67.95678 |      67.53958 |      -0.41719 |      74.01027 |      -0.01509 |      -0.34134 |      -0.00050 | 
     14.75785 |      -0.84322 |      67.96027 |      67.54302 |      -0.41725 |      73.91703 |      -0.01174 |      -0.30666 |      -0.00128 | 
     14.44760 |      -0.85237 |      67.96339 |      67.54609 |      -0.41731 |      73.85234 |      -0.00833 |      -0.31446 |      -0.00159 | 
     14.12108 |      -0.85894 |      67.96677 |      67.54942 |      -0.41736 |      73.81245 |      -0.00673 |      -0.33584 |      -0.00166 | 
     13.78186 |      -0.86451 |      67.97024 |      67.55283 |      -0.41741 |      73.78732 |      -0.00641 |      -0.35012 |      -0.00189 | 
     13.42517 |      -0.87019 |      67.97357 |      67.55610 |      -0.41747 |      73.77081 |      -0.00648 |      -0.35754 |      -0.00247 | 
