  pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   mavar,__deg |   __mag,_comp |   ____P,deg/s |   ____Q,deg/s |   ____R,deg/s | 
      4.77925 |      -0.81597 |      67.95118 |      67.54593 |      -0.40525 |      70.00728 |      -0.00089 |      -0.03065 |      -0.00007 | 
      4.74273 |      -0.81669 |      67.95133 |      67.54603 |      -0.40531 |      69.98744 |      -0.00077 |      -0.02888 |      -0.00042 | 
      4.71096 |      -0.81732 |      67.95116 |      67.54581 |      -0.40536 |      69.96204 |      -0.00047 |      -0.02657 |      -0.00084 | 
      4.68388 |      -0.81727 |      67.95036 |      67.54494 |      -0.40542 |      69.93217 |       0.00048 |      -0.02272 |      -0.00069 | 
      4.66216 |      -0.81657 |      67.95016 |      67.54469 |      -0.40547 |      69.90074 |       0.00060 |      -0.01863 |      -0.00029 | 
      4.64559 |      -0.81594 |      67.95016 |      67.54463 |      -0.40553 |      69.86940 |       0.00044 |      -0.01408 |      -0.00000 | 
      4.63418 |      -0.81567 |      67.95042 |      67.54484 |      -0.40559 |      69.83981 |      -0.00001 |      -0.00956 |       0.00000 | 
      4.62768 |      -0.81561 |      67.95029 |      67.54465 |      -0.40564 |      69.81322 |       0.00008 |      -0.00528 |       0.00005 | 
      4.62546 |      -0.81544 |      67.95013 |      67.54443 |      -0.40570 |      69.78977 |       0.00018 |      -0.00134 |       0.00024 | 
      4.62709 |      -0.81519 |      67.95009 |      67.54433 |      -0.40575 |      69.77016 |       0.00017 |       0.00212 |       0.00052 | 
      4.63197 |      -0.81515 |      67.95035 |      67.54453 |      -0.40581 |      69.75489 |      -0.00017 |       0.00499 |       0.00059 | 
      4.63943 |      -0.81528 |      67.95037 |      67.54450 |      -0.40587 |      69.74369 |      -0.00018 |       0.00720 |       0.00064 | 
      4.64861 |      -0.81544 |      67.95042 |      67.54450 |      -0.40592 |      69.73624 |      -0.00022 |       0.00877 |       0.00065 | 
      4.65928 |      -0.81564 |      67.95044 |      67.54446 |      -0.40598 |      69.73182 |      -0.00020 |       0.00982 |       0.00062 | 
      4.67042 |      -0.81575 |      67.95042 |      67.54439 |      -0.40604 |      69.73001 |      -0.00014 |       0.01021 |       0.00063 | 
      4.68203 |      -0.81586 |      67.95040 |      67.54430 |      -0.40609 |      69.73023 |      -0.00010 |       0.01018 |       0.00059 | 
      4.69353 |      -0.81580 |      67.95033 |      67.54418 |      -0.40615 |      69.73183 |      -0.00000 |       0.01002 |       0.00063 | 
      4.70377 |      -0.81577 |      67.95031 |      67.54410 |      -0.40621 |      69.73433 |       0.00002 |       0.00904 |       0.00061 | 
      4.71313 |      -0.81565 |      67.95023 |      67.54396 |      -0.40627 |      69.73744 |       0.00011 |       0.00778 |       0.00063 | 
      4.72119 |      -0.81553 |      67.95026 |      67.54395 |      -0.40632 |      69.74051 |       0.00005 |       0.00633 |       0.00062 | 
      4.72790 |      -0.81539 |      67.95021 |      67.54383 |      -0.40638 |      69.74324 |       0.00011 |       0.00489 |       0.00059 | 
      4.73309 |      -0.81523 |      67.95019 |      67.54375 |      -0.40644 |      69.74564 |       0.00012 |       0.00341 |       0.00050 | 
      4.73682 |      -0.81501 |      67.95006 |      67.54356 |      -0.40649 |      69.74752 |       0.00025 |       0.00193 |       0.00044 | 
      4.73920 |      -0.81469 |      67.94997 |      67.54342 |      -0.40655 |      69.74905 |       0.00029 |       0.00053 |       0.00044 | 
      4.74030 |      -0.81442 |      67.95006 |      67.54346 |      -0.40660 |      69.74996 |       0.00015 |      -0.00080 |       0.00038 | 
      4.74022 |      -0.81420 |      67.95000 |      67.54333 |      -0.40666 |      69.75066 |       0.00019 |      -0.00180 |       0.00032 | 
      4.73915 |      -0.81394 |      67.95004 |      67.54332 |      -0.40672 |      69.75066 |       0.00015 |      -0.00272 |       0.00033 | 
      4.73727 |      -0.81380 |      67.95004 |      67.54327 |      -0.40677 |      69.75045 |       0.00011 |      -0.00342 |       0.00027 | 
      4.73478 |      -0.81367 |      67.95016 |      67.54333 |      -0.40683 |      69.74966 |      -0.00000 |      -0.00398 |       0.00028 | 
      4.73184 |      -0.81368 |      67.95028 |      67.54340 |      -0.40688 |      69.74889 |      -0.00010 |      -0.00435 |       0.00023 | 
      4.72864 |      -0.81368 |      67.95030 |      67.54336 |      -0.40694 |      69.74772 |      -0.00004 |      -0.00453 |       0.00024 | 
      4.72526 |      -0.81367 |      67.95034 |      67.54334 |      -0.40700 |      69.74622 |      -0.00003 |      -0.00464 |       0.00022 | 
      4.72188 |      -0.81360 |      67.95041 |      67.54336 |      -0.40705 |      69.74464 |      -0.00004 |      -0.00453 |       0.00025 | 
      4.71870 |      -0.81361 |      67.95048 |      67.54337 |      -0.40711 |      69.74308 |      -0.00006 |      -0.00430 |       0.00022 | 
      4.71573 |      -0.81354 |      67.95045 |      67.54328 |      -0.40717 |      69.74142 |       0.00005 |      -0.00404 |       0.00029 | 
      4.71308 |      -0.81355 |      67.95061 |      67.54340 |      -0.40722 |      69.73953 |      -0.00011 |      -0.00371 |       0.00025 | 
      4.71076 |      -0.81351 |      67.95055 |      67.54327 |      -0.40728 |      69.73737 |       0.00007 |      -0.00332 |       0.00031 | 
      4.70885 |      -0.81351 |      67.95079 |      67.54346 |      -0.40733 |      69.73544 |      -0.00019 |      -0.00291 |       0.00028 | 
      4.70734 |      -0.81357 |      67.95079 |      67.54340 |      -0.40739 |      69.73346 |      -0.00010 |      -0.00246 |       0.00033 | 
      4.70627 |      -0.81364 |      67.95090 |      67.54346 |      -0.40745 |      69.73158 |      -0.00012 |      -0.00207 |       0.00029 | 
      4.70564 |      -0.81364 |      67.95090 |      67.54340 |      -0.40750 |      69.72978 |      -0.00005 |      -0.00168 |       0.00038 | 
      4.70535 |      -0.81374 |      67.95108 |      67.54352 |      -0.40756 |      69.72821 |      -0.00019 |      -0.00136 |       0.00032 | 
      4.70537 |      -0.81377 |      67.95094 |      67.54333 |      -0.40762 |      69.72662 |       0.00005 |      -0.00108 |       0.00036 | 
      4.70568 |      -0.81370 |      67.95116 |      67.54348 |      -0.40767 |      69.72530 |      -0.00013 |      -0.00081 |       0.00038 | 
      4.70622 |      -0.81374 |      67.95118 |      67.54345 |      -0.40773 |      69.72443 |      -0.00009 |      -0.00062 |       0.00039 | 
      4.70693 |      -0.81375 |      67.95119 |      67.54340 |      -0.40779 |      69.72363 |      -0.00004 |      -0.00049 |       0.00037 | 
      4.70776 |      -0.81368 |      67.95120 |      67.54336 |      -0.40784 |      69.72284 |      -0.00000 |      -0.00032 |       0.00043 | 
      4.70870 |      -0.81375 |      67.95142 |      67.54352 |      -0.40790 |      69.72246 |      -0.00019 |      -0.00029 |       0.00037 | 
      4.70966 |      -0.81379 |      67.95130 |      67.54335 |      -0.40795 |      69.72215 |       0.00002 |      -0.00027 |       0.00039 | 
      4.71060 |      -0.81372 |      67.95142 |      67.54341 |      -0.40801 |      69.72208 |      -0.00004 |      -0.00029 |       0.00040 | 
      4.71147 |      -0.81367 |      67.95138 |      67.54331 |      -0.40807 |      69.72208 |       0.00004 |      -0.00036 |       0.00040 | 
