  pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   mavar,__deg |   __mag,_comp |   ____P,deg/s |   ____Q,deg/s |   ____R,deg/s | 
      0.83022 |       0.27224 |      76.88911 |      76.46903 |      -0.42008 |      76.95417 |       0.60192 |      -0.01355 |       0.05267 | 
      0.83168 |       1.78768 |      76.98116 |      76.56100 |      -0.42016 |      77.09208 |       2.33825 |       0.00443 |       0.14700 | 
      0.83362 |       4.80759 |      77.21080 |      76.79057 |      -0.42024 |      77.38265 |       3.69414 |       0.02849 |       0.32899 | 
      0.83597 |       8.90421 |      77.65636 |      77.23605 |      -0.42031 |      77.91270 |       4.23187 |       0.09021 |       0.54660 | 
      0.84722 |      13.10570 |      78.30194 |      77.88155 |      -0.42039 |      78.63674 |       4.22501 |       0.18579 |       0.72772 | 
      0.87492 |      17.33074 |      79.17385 |      78.75339 |      -0.42046 |      79.50671 |       4.18017 |       0.32573 |       0.93822 | 
      0.91512 |      21.47405 |      80.29305 |      79.87251 |      -0.42054 |      80.51115 |       4.14183 |       0.50637 |       1.15960 | 
      0.96846 |      25.63321 |      81.70410 |      81.28349 |      -0.42062 |      81.70178 |       4.11448 |       0.72162 |       1.37476 | 
      1.01150 |      28.95378 |      83.35539 |      82.93470 |      -0.42069 |      83.10603 |       2.54355 |       0.88352 |       1.52034 | 
      1.05362 |      30.78316 |      85.16740 |      84.74663 |      -0.42077 |      84.67943 |       1.08264 |       0.98739 |       1.57336 | 
      1.09576 |      31.41854 |      87.00226 |      86.58141 |      -0.42085 |      86.28613 |       0.26848 |       1.02069 |       1.60272 | 
      1.13965 |      31.50204 |      89.01344 |      88.59251 |      -0.42093 |      88.07510 |      -0.11587 |       1.04426 |       1.61512 | 
      1.19270 |      31.34776 |      90.93427 |      90.51326 |      -0.42101 |      89.80539 |      -0.24386 |       1.04339 |       1.60701 | 
      1.25211 |      31.12190 |      92.87580 |      92.45471 |      -0.42109 |      91.56613 |      -0.26821 |       1.02646 |       1.59003 | 
      1.30886 |      30.90346 |      94.75567 |      94.33450 |      -0.42117 |      93.26622 |      -0.24875 |       1.00605 |       1.57853 | 
      1.35820 |      30.71602 |      96.60088 |      96.17963 |      -0.42124 |      94.92068 |      -0.21566 |       0.98547 |       1.57341 | 
      1.39766 |      30.56236 |      98.45309 |      98.03176 |      -0.42132 |      96.56711 |      -0.18078 |       0.96373 |       1.56920 | 
      1.42530 |      30.44151 |     100.30903 |      99.88763 |      -0.42140 |      98.20648 |      -0.14948 |       0.94148 |       1.56356 | 
      1.44028 |      30.35084 |     102.12157 |     101.70009 |      -0.42148 |      99.80038 |      -0.12430 |       0.92113 |       1.55847 | 
      1.44368 |      30.28238 |     103.92537 |     103.50381 |      -0.42156 |     101.38079 |      -0.10443 |       0.90426 |       1.55551 | 
      1.43658 |      30.23059 |     105.74438 |     105.32274 |      -0.42163 |     102.97020 |      -0.08872 |       0.89015 |       1.55408 | 
      1.42066 |      30.19249 |     107.53664 |     107.11492 |      -0.42171 |     104.53337 |      -0.07693 |       0.87890 |       1.55283 | 
      1.39758 |      30.16406 |     109.32351 |     108.90173 |      -0.42179 |     106.08944 |      -0.06775 |       0.86967 |       1.55133 | 
      1.36854 |      30.14260 |     111.11025 |     110.68839 |      -0.42186 |     107.64189 |      -0.06080 |       0.86196 |       1.55005 | 
      1.33547 |      30.12641 |     112.87344 |     112.45150 |      -0.42194 |     109.16869 |      -0.05545 |       0.85659 |       1.54909 | 
      1.29924 |      30.11378 |     114.64312 |     114.22111 |      -0.42201 |     110.69417 |      -0.05125 |       0.85319 |       1.54829 | 
      1.26140 |      30.10374 |     116.41743 |     115.99535 |      -0.42208 |     112.21500 |      -0.04772 |       0.85143 |       1.54765 | 
      1.22458 |      30.09571 |     118.18887 |     117.76671 |      -0.42215 |     113.72334 |      -0.04499 |       0.85526 |       1.54695 | 
      1.19292 |      30.08915 |     119.96598 |     119.54375 |      -0.42223 |     115.22675 |      -0.04264 |       0.85907 |       1.54634 | 
      1.16369 |      30.08386 |     121.73775 |     121.31545 |      -0.42230 |     116.71710 |      -0.04065 |       0.86115 |       1.54575 | 
      1.13676 |      30.07953 |     123.50874 |     123.08638 |      -0.42236 |     118.19768 |      -0.03895 |       0.86321 |       1.54521 | 
      1.11216 |      30.07596 |     125.27230 |     124.84987 |      -0.42243 |     119.66337 |      -0.03754 |       0.86547 |       1.54479 | 
      1.08940 |      30.07297 |     127.05570 |     126.63320 |      -0.42250 |     121.13774 |      -0.03634 |       0.86764 |       1.54444 | 
      1.06890 |      30.07049 |     128.82674 |     128.40417 |      -0.42256 |     122.59520 |      -0.03530 |       0.86969 |       1.54410 | 
      1.05063 |      30.06839 |     130.59921 |     130.17659 |      -0.42262 |     124.04831 |      -0.03435 |       0.87212 |       1.54377 | 
      1.03467 |      30.06664 |     132.37750 |     131.95482 |      -0.42269 |     125.50171 |      -0.03352 |       0.87466 |       1.54356 | 
      1.02141 |      30.06521 |     134.13084 |     133.70810 |      -0.42275 |     126.93080 |      -0.03294 |       0.87756 |       1.54344 | 
      1.01061 |      30.06403 |     135.90678 |     135.48398 |      -0.42281 |     128.37502 |      -0.03239 |       0.88046 |       1.54332 | 
      1.00260 |      30.06309 |     137.67305 |     137.25018 |      -0.42286 |     129.80841 |      -0.03176 |       0.88358 |       1.54317 | 
      0.99732 |      30.06236 |     139.45251 |     139.02960 |      -0.42292 |     131.24940 |      -0.03156 |       0.88674 |       1.54305 | 
      0.99471 |      30.06182 |     141.21927 |     140.79630 |      -0.42297 |     132.67715 |      -0.03112 |       0.88859 |       1.54301 | 
      0.99205 |      30.06149 |     143.00470 |     142.58168 |      -0.42302 |     134.11716 |      -0.03097 |       0.88802 |       1.54299 | 
      0.99145 |      30.06126 |     144.77010 |     144.34703 |      -0.42307 |     135.53696 |      -0.03095 |       0.89368 |       1.54303 | 
      0.99604 |      30.06115 |     146.55075 |     146.12762 |      -0.42312 |     136.96542 |      -0.03103 |       0.89884 |       1.54304 | 
      1.00429 |      30.06124 |     148.32091 |     147.89774 |      -0.42317 |     138.38287 |      -0.03106 |       0.90248 |       1.54310 | 
      1.01505 |      30.06153 |     150.10089 |     149.67769 |      -0.42321 |     139.80518 |      -0.03115 |       0.90474 |       1.54315 | 
      1.02725 |      30.06202 |     151.87666 |     151.45341 |      -0.42325 |     141.22113 |      -0.03139 |       0.90596 |       1.54321 | 
      1.04022 |      30.06266 |     153.67947 |     153.25618 |      -0.42329 |     142.65541 |      -0.03169 |       0.90637 |       1.54333 | 
      1.05296 |      30.06340 |     155.47075 |     155.04742 |      -0.42333 |     144.07747 |      -0.03202 |       0.90594 |       1.54346 | 
      1.06416 |      29.80934 |     157.22787 |     156.80450 |      -0.42336 |     145.47389 |      -0.84534 |       0.87195 |       1.52795 | 
      1.06944 |      28.93808 |     158.94603 |     158.52263 |      -0.42340 |     146.94061 |      -1.43220 |       0.80861 |       1.47370 | 
      1.06813 |      27.01328 |     160.53883 |     160.11540 |      -0.42343 |     148.50932 |      -2.45334 |       0.68883 |       1.36211 | 
      1.05957 |      24.20767 |     161.96280 |     161.53934 |      -0.42346 |     150.26051 |      -3.16290 |       0.53178 |       1.21716 | 
      1.04059 |      20.88279 |     163.17372 |     162.75024 |      -0.42348 |     152.16135 |      -3.56684 |       0.37712 |       1.06311 | 
      1.00385 |      17.24784 |     164.19751 |     163.77400 |      -0.42351 |     154.22159 |      -3.71610 |       0.22866 |       0.90024 | 
      0.96216 |      13.61094 |     165.01949 |     164.59595 |      -0.42353 |     156.34265 |      -3.65448 |       0.15252 |       0.72923 | 
      0.91941 |      10.05380 |     165.66850 |     165.24495 |      -0.42356 |     158.51099 |      -3.41705 |       0.03398 |       0.55460 | 
      0.87606 |       6.81328 |     166.14040 |     165.71681 |      -0.42358 |     160.58691 |      -3.03607 |       0.00309 |       0.39299 | 
      0.82930 |       4.03349 |     166.45616 |     166.03256 |      -0.42360 |     162.46240 |      -2.55398 |      -0.03374 |       0.25365 | 
      0.77719 |       1.76658 |     166.64659 |     166.22296 |      -0.42363 |     164.08328 |      -1.99446 |      -0.05147 |       0.13879 | 
      0.72356 |       0.07763 |     166.73712 |     166.31348 |      -0.42365 |     165.37680 |      -1.43183 |      -0.05308 |       0.05139 | 
      0.67584 |      -1.08251 |     166.75543 |     166.33176 |      -0.42367 |     166.34151 |      -0.91337 |      -0.04726 |      -0.01056 | 
      0.63305 |      -1.76079 |     166.72542 |     166.30173 |      -0.42369 |     166.97523 |      -0.48016 |      -0.04090 |      -0.04825 | 
      0.59537 |      -2.05947 |     166.66827 |     166.24457 |      -0.42371 |     167.33052 |      -0.13982 |      -0.03433 |      -0.06585 | 
